City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,Wawa,9.9022,4.4192,85.24,54,69,4.83,NG,2021-04-23 21:06:55
83,Marzuq,14.4,46.4667,70.3,58,12,5.73,YE,2021-04-23 21:06:55
84,Maragogi,-9.0122,-35.2225,78.82,79,1,7.02,BR,2021-04-23 21:02:56
85,Labuhan,-6.8844,112.2051,75.58,84,11,5.3,ID,2021-04-23 21:06:55
86,Hofn,64.2539,-15.2082,44.6,87,75,2.3,IS,2021-04-23 21:06:56
87,Lagoa,39.05,-27.9833,57.81,74,10,33.64,PT,2021-04-23 21:06:56
88,Airai,-8.9266,125.4092,57.18,88,25,2.64,TL,2021-04-23 21:06:56
89,New Norfolk,-42.7826,147.0587,51.01,87,97,1.01,AU,2021-04-23 21:06:27
90,Kahului,20.8947,-156.47,80.6,61,40,20.71,US,2021-04-23 21:03:46
91,Mpika,-11.8343,31.4529,58.37,96,1,4.21,ZM,2021-04-23 21:06:57
92,Przhevalskoye,55.5093,31.8482,35.26,86,63,4.52,RU,2021-04-23 21:06:57
93,Hilo,19.7297,-155.09,75.2,73,90,6.91,US,2021-04-23 21:06:57
94,Gorin,51.1983,136.6669,32.79,70,94,4.63,RU,2021-04-23 21:06:57
95,Bilibino,68.0546,166.4372,18.23,87,100,4.07,RU,2021-04-23 21:06:58
96,Tolmezzo,46.4075,13.0175,55.99,68,1,4.43,IT,2021-04-23 21:06:58
97,Jieshi,22.8134,115.8257,71.38,84,1,10.87,CN,2021-04-23 21:06:58
98,Esperance,-33.8667,121.9,55.4,94,95,11.5,AU,2021-04-23 21:06:59
99,Tiznit,29.5833,-9.5,60.78,62,63,6.24,MA,2021-04-23 21:06:59
100,Viedma,-40.8135,-62.9967,68.83,41,58,7.58,AR,2021-04-23 21:06:59
101,Qaqortoq,60.7167,-46.0333,46.4,49,3,8.05,GL,2021-04-23 21:06:59
102,Riyadh,24.6877,46.7219,82.4,13,0,5.75,SA,2021-04-23 21:06:34
103,Flint,43.0125,-83.6875,60.8,29,75,17.27,US,2021-04-23 21:02:54
104,Arica,-18.475,-70.3042,69.8,64,0,12.66,CL,2021-04-23 21:07:00
105,Kokopo,-4.352,152.2633,76.69,86,99,1.14,PG,2021-04-23 21:07:00
106,Port Lincoln,-34.7333,135.8667,58.75,75,74,3.8,AU,2021-04-23 21:07:00
107,Anadyr,64.75,177.4833,12.2,92,0,6.71,RU,2021-04-23 21:07:01
108,Mazamari,-11.3258,-74.5308,85.77,55,49,1.01,PE,2021-04-23 21:07:01
109,Bantogon,6.5333,124.0333,78.13,80,100,3.13,PH,2021-04-23 21:07:01
110,Saint George,37.1041,-113.5841,79.0,10,1,18.41,US,2021-04-23 21:07:00
111,Mayo,38.8876,-76.5119,63.0,29,1,6.91,US,2021-04-23 21:07:02
112,Nikolskoye,59.7035,30.7861,41.0,75,40,6.71,RU,2021-04-23 21:07:02
113,Butaritari,3.0707,172.7902,82.51,75,92,10.85,KI,2021-04-23 21:07:02
