,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,40,4.83,scattered clouds
95,Dunedin,NZ,-45.8742,170.5036,45.0,55,93,5.99,overcast clouds
96,Willowmore,ZA,-33.2926,23.4895,81.21,19,100,3.13,overcast clouds
97,Kruisfontein,ZA,-34.0033,24.7314,75.99,56,100,5.99,overcast clouds
98,Araioses,BR,-2.89,-41.9031,87.8,70,40,13.8,scattered clouds
99,Cockburn Town,TC,21.4612,-71.1419,79.05,72,82,17.83,broken clouds
100,Lagoa,PT,39.05,-27.9833,59.14,78,21,15.86,few clouds
101,Fez,MA,34.0372,-4.9998,59.0,94,75,6.91,broken clouds
102,Avarua,CK,-21.2078,-159.775,75.2,88,40,10.36,scattered clouds
103,Ilirska Bistrica,SI,45.5697,14.2408,57.99,100,28,6.69,scattered clouds
104,Alexandria,EG,31.2156,29.9553,93.2,16,0,16.11,clear sky
105,Port Lincoln,AU,-34.7333,135.8667,60.3,66,82,8.12,broken clouds
106,Perambalur,IN,11.2333,78.8833,93.2,55,40,11.5,haze
107,San Patricio,US,28.017,-97.5169,68.0,77,1,3.44,clear sky
108,Victoria,HK,22.2855,114.1577,73.99,91,100,4.0,overcast clouds
109,Yar-Sale,RU,66.8333,70.8333,32.5,97,100,9.75,overcast clouds
110,Rio Gallegos,AR,-51.6226,-69.2181,46.4,71,0,16.11,clear sky
111,General Roca,AR,-39.0333,-67.5833,51.8,76,0,4.61,light rain
112,Dori,BF,14.0354,-0.0345,103.62,13,100,4.03,overcast clouds
113,Jieshi,CN,22.8134,115.8257,70.7,82,100,18.54,overcast clouds
114,Pangnirtung,CA,66.1451,-65.7125,36.37,79,100,1.16,overcast clouds
115,Dikson,RU,73.5069,80.5464,19.13,85,100,10.29,overcast clouds
116,Jamestown,US,42.097,-79.2353,46.99,93,90,9.22,overcast clouds
117,Kudahuvadhoo,MV,2.6708,72.8944,83.68,67,33,8.61,scattered clouds
118,Gat,IL,31.61,34.7642,84.99,37,5,1.99,clear sky
119,Korla,CN,41.7597,86.1469,58.21,23,0,10.58,clear sky
120,Havoysund,NO,70.9963,24.6622,32.0,86,75,6.91,snow
121,Torbay,CA,47.6666,-52.7314,48.99,49,20,18.41,few clouds
122,East London,ZA,-33.0153,27.9116,73.4,60,0,8.05,clear sky
