City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Mandleshwar,IN,91.4,overcast clouds,22.1833,75.6667,Mahalaxmi Bhojnalay
576,Voi,KE,85.3,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
582,Sai Buri,TH,80.49,light rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
586,Sultanpur,IN,89.06,overcast clouds,26.2667,82.0667,OYO 49568 Vrindavan Guest House
590,Ewo,CG,90.1,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
593,Bosaso,SO,86.0,moderate rain,11.2842,49.1816,Red Sea Hotel
596,Nouadhibou,MR,80.6,clear sky,20.930999999999997,-17.0347,El Medina
598,Paciran,ID,80.42,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
603,Chiniot,PK,89.15,clear sky,31.72,72.9789,Khayyam Hotel & Restaurant Chiniot
605,Qandala,SO,85.8,light rain,11.472000000000001,49.8728,
608,Port-Gentil,GA,89.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
610,Lodja,CD,84.61,broken clouds,-3.4833,23.4333,
613,Alenquer,BR,86.0,scattered clouds,-1.9417,-54.7383,Josilene Castro
617,Batticaloa,LK,82.56,clear sky,7.7102,81.6924,Grand Star Guest House
618,Macapa,BR,86.0,scattered clouds,0.0389,-51.0664,Atalanta Hotel
624,Keffi,NG,93.2,few clouds,8.8486,7.8736,Imam Family
628,Karamadai,IN,89.6,light rain,11.2406,76.9601,Dr.Rv.Arts and Science clg Boy's Hostel
631,Matadi,CD,88.14,broken clouds,-5.8167,13.45,Hotel Vivi Palace
636,Caucaia,BR,84.2,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
661,Ormara,PK,82.09,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
665,Mangrol,IN,83.39,clear sky,21.1167,70.1167,Hotel The Royal Honours
672,Isabela,PH,82.4,few clouds,6.7085,121.9711,Isawad Resort
674,Axim,GH,84.47,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
